SURVEY: SNLS3_LC
SNID: 03D3cc
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0118 MW E(B-V)
REDSHIFT_HELIO: 0.4627 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 52781.322
FILTERS: griz

NOBS: 23
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

SPEC:   5348.60   5353.60 7.57570e-17 3.20800e-18 1
SPEC:   5353.60   5358.60 7.93990e-17 2.77500e-18 1
SPEC:   5358.60   5363.60 7.94260e-17 2.76100e-18 1
SPEC:   5363.60   5368.60 7.92200e-17 3.16100e-18 1
SPEC:   5368.60   5373.60 8.33160e-17 2.75300e-18 1
SPEC:   5373.60   5378.60 8.23720e-17 2.76000e-18 1
SPEC:   5378.60   5383.60 8.09580e-17 2.73500e-18 1
SPEC:   5383.60   5388.60 7.61820e-17 3.12300e-18 1
SPEC:   5388.61   5393.61 7.37950e-17 2.67600e-18 1
SPEC:   5393.61   5398.61 7.31020e-17 2.65700e-18 1
SPEC:   5398.61   5403.61 7.20330e-17 3.05400e-18 1
SPEC:   5403.61   5408.61 7.00130e-17 2.61400e-18 1
SPEC:   5408.61   5413.61 6.45110e-17 2.60900e-18 1
SPEC:   5413.61   5418.61 6.33840e-17 3.00600e-18 1
SPEC:   5418.61   5423.61 5.45610e-17 2.58200e-18 1
SPEC:   5423.61   5428.61 5.66090e-17 2.57800e-18 1
SPEC:   5428.61   5433.61 6.14480e-17 2.60100e-18 1
SPEC:   5433.61   5438.62 5.85710e-17 3.02500e-18 1
SPEC:   5438.62   5443.62 4.90410e-17 3.64800e-18 1
SPEC:   5443.62   5448.62 5.75960e-17 6.83527e-14 0
SPEC:   5448.62   5453.62 5.62490e-17 6.83527e-14 0
SPEC:   5453.62   5458.62 5.52420e-17 6.83527e-14 0
SPEC:   5458.62   5463.62 5.43680e-17 6.83527e-14 0
SPEC:   5463.62   5468.62 4.56580e-17 2.90600e-18 1
SPEC:   5468.62   5473.62 4.65520e-17 2.90500e-18 1
SPEC:   5473.62   5478.62 4.07360e-17 2.48700e-18 1
SPEC:   5478.62   5483.62 4.56060e-17 2.52200e-18 1
SPEC:   5483.62   5488.63 4.08960e-17 2.91900e-18 1
SPEC:   5488.63   5493.63 4.68260e-17 2.53700e-18 1
SPEC:   5493.63   5498.63 4.98010e-17 2.56100e-18 1
SPEC:   5498.63   5503.63 4.15010e-17 2.55100e-18 1
SPEC:   5503.63   5508.63 4.29640e-17 2.94000e-18 1
SPEC:   5508.63   5513.63 4.02960e-17 2.52700e-18 1
SPEC:   5513.63   5518.63 3.97520e-17 2.51600e-18 1
SPEC:   5518.63   5523.63 4.40630e-17 2.92900e-18 1
SPEC:   5523.63   5528.63 4.68140e-17 2.53900e-18 1
