SPEC:   4837.65   4843.35 5.56103e-16 1.99180e-17 1
SPEC:   4843.35   4849.05 4.83941e-16 1.97809e-17 1
SPEC:   4849.15   4854.85 5.02074e-16 1.95944e-17 1
SPEC:   4854.85   4860.55 4.99716e-16 1.93664e-17 1
SPEC:   4860.55   4866.25 4.80530e-16 1.91871e-17 1
SPEC:   4866.35   4872.05 4.90101e-16 1.89872e-17 1
SPEC:   4872.05   4877.75 4.63648e-16 1.87631e-17 1
SPEC:   4877.75   4883.45 4.48177e-16 1.85861e-17 1
SPEC:   4883.55   4889.25 4.70710e-16 1.83607e-17 1
SPEC:   4889.25   4894.95 4.28580e-16 1.81963e-17 1
SPEC:   4894.95   4900.65 4.46441e-16 1.79828e-17 1
SPEC:   4900.75   4906.45 4.42105e-16 1.78297e-17 1
SPEC:   4906.45   4912.15 4.24686e-16 1.75844e-17 1
SPEC:   4912.15   4917.85 4.27911e-16 1.76314e-17 1
SPEC:   4917.95   4923.65 3.87227e-16 1.72996e-17 1
SPEC:   4923.65   4929.35 4.24461e-16 1.71412e-17 1
SPEC:   4929.35   4935.05 4.07664e-16 1.70195e-17 1
SPEC:   4935.15   4940.85 3.99859e-16 1.69443e-17 1
SPEC:   4940.85   4946.55 3.82811e-16 1.67929e-17 1
SPEC:   4946.55   4952.25 3.89581e-16 1.66968e-17 1
SPEC:   4952.35   4958.05 4.11506e-16 1.66439e-17 1
SPEC:   4958.05   4963.75 4.09982e-16 1.65511e-17 1
SPEC:   4963.75   4969.45 3.86397e-16 1.64645e-17 1
SPEC:   4969.55   4975.25 3.83989e-16 1.64350e-17 1
SPEC:   4975.25   4980.95 3.72828e-16 1.63196e-17 1
SPEC:   4981.05   4986.75 3.46938e-16 1.62384e-17 1
SPEC:   4986.75   4992.45 3.53431e-16 1.62391e-17 1
SPEC:   4992.45   4998.15 3.46933e-16 1.61023e-17 1
SPEC:   4998.25   5003.95 3.65311e-16 1.61238e-17 1
SPEC:   5003.95   5009.65 3.50278e-16 1.60312e-17 1
SPEC:   5009.65   5015.35 3.65845e-16 1.59639e-17 1
SPEC:   5015.35   5021.05 3.23848e-16 1.59316e-17 1
SPEC:   5021.15   5026.85 3.61931e-16 1.58538e-17 1
SPEC:   5026.85   5032.55 3.75501e-16 1.57740e-17 1
SPEC:   5032.55   5038.25 3.20290e-16 1.56976e-17 1
SPEC:   5038.35   5044.05 3.34274e-16 1.55393e-17 1
SPEC:   5044.05   5049.75 3.45203e-16 1.54958e-17 1
SPEC:   5049.75   5055.45 2.96968e-16 1.54331e-17 1
SPEC:   5055.55   5061.25 3.14910e-16 1.53285e-17 1
SPEC:   5061.25   5066.95 3.23053e-16 1.53105e-17 1
SPEC:   5067.05   5072.75 3.20314e-16 1.51312e-17 1
SPEC:   5072.75   5078.45 3.04919e-16 1.49893e-17 1
SPEC:   5078.45   5084.15 3.00201e-16 1.48870e-17 1
SPEC:   5084.25   5089.95 2.75583e-16 1.48271e-17 1
SPEC:   5089.95   5095.65 2.93852e-16 1.47457e-17 1
SPEC:   5095.65   5101.35 2.82185e-16 1.45986e-17 1
SPEC:   5101.35   5107.05 2.72971e-16 1.45870e-17 1
SPEC:   5107.15   5112.85 2.91328e-16 1.44689e-17 1
SPEC:   5112.85   5118.55 2.96803e-16 1.44461e-17 1
SPEC:   5118.55   5124.25 3.08907e-16 1.43401e-17 1
SPEC:   5124.35   5130.05 3.05373e-16 1.42867e-17 1
SPEC:   5130.05   5135.75 3.20006e-16 1.42374e-17 1
SPEC:   5135.75   5141.45 3.23024e-16 1.41433e-17 1
SPEC:   5141.55   5147.25 3.28942e-16 1.41502e-17 1
SPEC:   5147.25   5152.95 3.59694e-16 1.41175e-17 1
SPEC:   5153.05   5158.75 3.21081e-16 1.40632e-17 1
SPEC:   5158.75   5164.45 3.17033e-16 1.40500e-17 1
SPEC:   5164.45   5170.15 3.27796e-16 1.39790e-17 1
SPEC:   5170.25   5175.95 3.54379e-16 1.39637e-17 1
SPEC:   5175.95   5181.65 3.16469e-16 1.40084e-17 1
SPEC:   5181.65   5187.35 3.46557e-16 1.39360e-17 1
SPEC:   5187.35   5193.05 3.00419e-16 1.40070e-17 1
SPEC:   5193.15   5198.85 3.26937e-16 1.44936e-17 1
SPEC:   5198.85   5204.55 3.24815e-16 1.44295e-17 1
SPEC:   5204.55   5210.25 3.24637e-16 1.40303e-17 1
SPEC:   5210.35   5216.05 3.15863e-16 1.40515e-17 1
SPEC:   5216.05   5221.75 3.01631e-16 1.41318e-17 1
SPEC:   5221.75   5227.45 3.23993e-16 1.41346e-17 1
