SURVEY: SDSS
SNID: 12843
IAUC: 2006fa
PHOTOMETRY_VERSION: SMPv8+BOSS_2006
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 323.878086  deg
DECL: -0.980274  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 23
FAKE: 0   (=> data)
MWEBV: 0.0451    MW E(B-V)
MWEBV_ERR: 0.0075    error on MWEBV
NEPOCH_PRESN: 8   10   13   14   15   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.167253 +- 0.000068  (Helio, z_best)
OBS: 54058.135  g  NULL 47.9300000 19.9000000
OBS: 54058.135  r  NULL 130.9000000 30.0200000
OBS: 54058.135  i  NULL 81.9600000 53.5600000
OBS: 54058.135  z  NULL 198.7000000 148.8000000
OBS: 54058.135  u  NULL 39.4700000 63.8000000
OBS: 54060.157  g  NULL 48.3100000 20.2900000
OBS: 54060.157  r  NULL 82.0700000 23.4400000
OBS: 54060.157  i  NULL 32.3400000 36.6000000
OBS: 54060.157  z  NULL 71.7900000 122.1000000
OBS: 54060.157  u  NULL 28.9500000 61.4000000
OBS: 54063.125  g  NULL 51.5400000 18.2700000
OBS: 54063.125  r  NULL 77.2500000 29.5300000
OBS: 54063.125  i  NULL 48.1100000 49.8200000
OBS: 54063.125  z  NULL 94.1400000 152.9000000
OBS: 54063.125  u  NULL 80.6600000 65.1700000
END_PHOTOMETRY:

# =============================================
