SURVEY: Jha2006_LC
SNID: sn1997do
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Jha2006_LC
MWEBV: 0.063 MW E(B-V)
REDSHIFT_HELIO: 0.01012 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 50766.469
FILTERS: UBVRIfhjkl

NOBS: 31
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

SPEC:   4223.25   4224.75 2.41325e-15 7.74230e-17 1
SPEC:   4224.75   4226.25 2.29928e-15 7.74230e-17 1
SPEC:   4226.25   4227.75 2.26454e-15 7.74230e-17 1
SPEC:   4227.75   4229.25 2.20937e-15 7.74230e-17 1
SPEC:   4229.25   4230.75 2.35194e-15 7.74230e-17 1
SPEC:   4230.75   4232.25 2.34302e-15 7.74230e-17 1
SPEC:   4232.25   4233.75 2.34040e-15 7.74230e-17 1
SPEC:   4233.75   4235.25 2.29322e-15 7.74230e-17 1
SPEC:   4235.25   4236.75 2.18901e-15 7.74230e-17 1
SPEC:   4236.75   4238.25 2.28169e-15 7.74230e-17 1
