SPEC:   5287.65   5293.15 1.42617e-15 1.70105e-17 1
SPEC:   5293.15   5298.65 1.41995e-15 1.71850e-17 1
SPEC:   5298.75   5304.25 1.43846e-15 1.74165e-17 1
SPEC:   5304.25   5309.75 1.43865e-15 1.75987e-17 1
SPEC:   5309.75   5315.25 1.40718e-15 1.77676e-17 1
SPEC:   5315.25   5320.75 1.41491e-15 1.79139e-17 1
SPEC:   5320.75   5326.25 1.40983e-15 1.80921e-17 1
SPEC:   5326.35   5331.85 1.33979e-15 1.81852e-17 1
SPEC:   5331.85   5337.35 1.27960e-15 1.83475e-17 1
SPEC:   5337.35   5342.85 1.26099e-15 1.84903e-17 1
SPEC:   5342.85   5348.35 1.22987e-15 1.85764e-17 1
SPEC:   5348.35   5353.85 1.15604e-15 1.87054e-17 1
SPEC:   5353.85   5359.35 1.06478e-15 1.87776e-17 1
SPEC:   5359.45   5364.95 1.06497e-15 1.88262e-17 1
SPEC:   5364.95   5370.45 1.05084e-15 1.89246e-17 1
SPEC:   5370.45   5375.95 1.02840e-15 1.89905e-17 1
SPEC:   5375.95   5381.45 9.76272e-16 1.90335e-17 1
SPEC:   5381.45   5386.95 9.46656e-16 1.90448e-17 1
SPEC:   5387.05   5392.55 9.59068e-16 1.90142e-17 1
SPEC:   5392.55   5398.05 9.42958e-16 1.90827e-17 1
SPEC:   5398.05   5403.55 9.67080e-16 1.90675e-17 1
SPEC:   5403.55   5409.05 9.26460e-16 1.90472e-17 1
SPEC:   5409.05   5414.55 9.73806e-16 1.90403e-17 1
SPEC:   5414.55   5420.05 9.86109e-16 1.90596e-17 1
SPEC:   5420.15   5425.65 9.79095e-16 1.90460e-17 1
SPEC:   5425.65   5431.15 9.69162e-16 1.90255e-17 1
SPEC:   5431.15   5436.65 9.85435e-16 1.89912e-17 1
SPEC:   5436.65   5442.15 1.01496e-15 1.89919e-17 1
SPEC:   5442.15   5447.65 1.03990e-15 1.89455e-17 1
SPEC:   5447.65   5453.15 1.02820e-15 1.89504e-17 1
SPEC:   5453.25   5458.75 1.04606e-15 1.89001e-17 1
SPEC:   5458.75   5464.25 1.09181e-15 1.88739e-17 1
SPEC:   5464.25   5469.75 1.09634e-15 1.88502e-17 1
SPEC:   5469.75   5475.25 1.09807e-15 1.87912e-17 1
SPEC:   5475.25   5480.75 1.10334e-15 1.88135e-17 1
SPEC:   5480.85   5486.35 1.09166e-15 1.87847e-17 1
SPEC:   5486.35   5491.85 1.06845e-15 1.87829e-17 1
SPEC:   5491.85   5497.35 1.04162e-15 1.87330e-17 1
SPEC:   5497.35   5502.85 1.08736e-15 1.87456e-17 1
SPEC:   5502.85   5508.35 1.08529e-15 1.87191e-17 1
SPEC:   5508.35   5513.85 1.08985e-15 1.86959e-17 1
SPEC:   5513.95   5519.45 1.08223e-15 1.86922e-17 1
SPEC:   5519.45   5524.95 1.03338e-15 1.86836e-17 1
SPEC:   5524.95   5530.45 9.94738e-16 1.86441e-17 1
SPEC:   5530.45   5535.95 9.69666e-16 1.86289e-17 1
SPEC:   5535.95   5541.45 9.51034e-16 1.86434e-17 1
SPEC:   5541.45   5546.95 9.08865e-16 1.86832e-17 1
SPEC:   5547.05   5552.55 9.11489e-16 1.86121e-17 1
SPEC:   5552.55   5558.05 8.65604e-16 1.85910e-17 1
SPEC:   5558.05   5563.55 8.58847e-16 1.86031e-17 1
SPEC:   5563.55   5569.05 8.35925e-16 1.87056e-17 1
SPEC:   5569.05   5574.55 8.47829e-16 1.95036e-17 1
SPEC:   5574.65   5580.15 8.29653e-16 2.31323e-17 1
SPEC:   5580.15   5585.65 8.38211e-16 1.95882e-17 1
SPEC:   5585.65   5591.15 9.00048e-16 1.84751e-17 1
SPEC:   5591.15   5596.65 8.83390e-16 1.83764e-17 1
SPEC:   5596.65   5602.15 9.17055e-16 1.83583e-17 1
SPEC:   5602.15   5607.65 9.07917e-16 1.83720e-17 1
SPEC:   5607.75   5613.25 9.50187e-16 1.82342e-17 1
SPEC:   5613.25   5618.75 9.93324e-16 1.81931e-17 1
SPEC:   5618.75   5624.25 1.00926e-15 1.81451e-17 1
SPEC:   5624.25   5629.75 9.98851e-16 1.80701e-17 1
SPEC:   5629.75   5635.25 1.03395e-15 1.79794e-17 1
SPEC:   5635.35   5640.85 1.07215e-15 1.79126e-17 1
SPEC:   5640.85   5646.35 1.06260e-15 1.78858e-17 1
SPEC:   5646.35   5651.85 1.10910e-15 1.77943e-17 1
SPEC:   5651.85   5657.35 1.18090e-15 1.76880e-17 1
SPEC:   5657.35   5662.85 1.13207e-15 1.75975e-17 1
SPEC:   5662.85   5668.35 1.15497e-15 1.75349e-17 1
SPEC:   5668.45   5673.95 1.12602e-15 1.74768e-17 1
SPEC:   5673.95   5679.45 1.12991e-15 1.74020e-17 1
