SPEC:   4547.25   4552.75 5.99729e-16 6.12870e-18 1
SPEC:   4552.75   4558.25 5.89621e-16 6.13304e-18 1
SPEC:   4558.35   4563.85 5.74358e-16 6.15273e-18 1
SPEC:   4563.85   4569.35 5.56514e-16 6.15131e-18 1
SPEC:   4569.35   4574.85 5.43888e-16 6.17816e-18 1
SPEC:   4574.85   4580.35 5.23732e-16 6.19796e-18 1
SPEC:   4580.35   4585.85 5.11158e-16 6.21791e-18 1
SPEC:   4585.85   4591.35 5.06732e-16 6.24732e-18 1
SPEC:   4591.45   4596.95 4.96766e-16 6.27297e-18 1
SPEC:   4596.95   4602.45 4.84502e-16 6.27408e-18 1
SPEC:   4602.45   4607.95 4.73412e-16 6.31331e-18 1
SPEC:   4607.95   4613.45 4.76468e-16 6.34270e-18 1
SPEC:   4613.45   4618.95 4.89117e-16 6.36799e-18 1
SPEC:   4619.05   4624.55 4.95368e-16 6.39701e-18 1
SPEC:   4624.55   4630.05 5.22161e-16 6.41044e-18 1
SPEC:   4630.05   4635.55 5.34764e-16 6.41640e-18 1
SPEC:   4635.55   4641.05 5.39641e-16 6.43547e-18 1
SPEC:   4641.05   4646.55 5.45385e-16 6.45922e-18 1
SPEC:   4646.65   4652.15 5.65677e-16 6.46528e-18 1
SPEC:   4652.15   4657.65 5.61044e-16 6.46455e-18 1
SPEC:   4657.65   4663.15 5.60280e-16 6.48621e-18 1
SPEC:   4663.15   4668.65 5.74585e-16 6.48339e-18 1
SPEC:   4668.65   4674.15 5.71021e-16 6.47280e-18 1
SPEC:   4674.15   4679.65 5.87504e-16 6.47250e-18 1
SPEC:   4679.65   4685.15 5.85771e-16 6.45132e-18 1
SPEC:   4685.25   4690.75 5.88100e-16 6.42485e-18 1
SPEC:   4690.75   4696.25 6.06398e-16 6.38298e-18 1
SPEC:   4696.25   4701.75 5.93949e-16 6.36194e-18 1
SPEC:   4701.75   4707.25 5.82018e-16 6.31819e-18 1
SPEC:   4707.25   4712.75 5.94991e-16 6.27860e-18 1
SPEC:   4712.85   4718.35 5.80791e-16 6.22820e-18 1
SPEC:   4718.35   4723.85 5.69486e-16 6.17312e-18 1
SPEC:   4723.85   4729.35 5.77469e-16 6.12839e-18 1
SPEC:   4729.35   4734.85 5.91023e-16 6.05036e-18 1
SPEC:   4734.85   4740.35 5.81935e-16 5.99325e-18 1
SPEC:   4740.35   4745.85 5.87900e-16 5.90726e-18 1
SPEC:   4745.95   4751.45 5.84140e-16 5.85288e-18 1
SPEC:   4751.45   4756.95 5.80144e-16 5.77167e-18 1
