SPEC: 5570.40 5578.60 1.69942e-16 7.74458e-18 1
SPEC: 5578.60 5586.80 1.65699e-16 7.13868e-18 1
SPEC: 5586.80 5595.00 1.60293e-16 6.81896e-18 1
SPEC: 5595.10 5603.30 1.76328e-16 6.85113e-18 1
SPEC: 5603.30 5611.50 1.45464e-16 6.87950e-18 1
SPEC: 5611.50 5619.70 1.56471e-16 6.87354e-18 1
SPEC: 5619.80 5628.00 1.63536e-16 6.87529e-18 1
SPEC: 5628.00 5636.20 1.63982e-16 6.83752e-18 1
SPEC: 5636.20 5644.40 1.57288e-16 6.81519e-18 1
SPEC: 5644.50 5652.70 1.60320e-16 6.78386e-18 1
SPEC: 5652.70 5660.90 1.50330e-16 6.72649e-18 1
SPEC: 5660.90 5669.10 1.48498e-16 6.67565e-18 1
SPEC: 5669.10 5677.30 1.50610e-16 6.62110e-18 1
SPEC: 5677.40 5685.60 1.29766e-16 6.56047e-18 1
SPEC: 5685.60 5693.80 1.42687e-16 6.49495e-18 1
SPEC: 5693.80 5702.00 1.38810e-16 6.43021e-18 1
SPEC: 5702.10 5710.30 1.30520e-16 6.34288e-18 1
SPEC: 5710.30 5718.50 1.23134e-16 6.27048e-18 1
SPEC: 5718.50 5726.70 1.12195e-16 6.18684e-18 1
SPEC: 5726.70 5734.90 1.26082e-16 6.09956e-18 1
SPEC: 5735.00 5743.20 1.27700e-16 6.01383e-18 1
SPEC: 5743.20 5751.40 1.19580e-16 5.92665e-18 1
SPEC: 5751.40 5759.60 1.26842e-16 5.83403e-18 1
SPEC: 5759.70 5767.90 1.25470e-16 5.73963e-18 1
SPEC: 5767.90 5776.10 1.13156e-16 5.64344e-18 1
SPEC: 5776.10 5784.30 1.15974e-16 5.54890e-18 1
SPEC: 5784.30 5792.50 1.25228e-16 5.45363e-18 1
SPEC: 5792.60 5800.80 1.25779e-16 5.35487e-18 1
SPEC: 5800.80 5809.00 1.29079e-16 5.27021e-18 1
SPEC: 5809.00 5817.20 1.34649e-16 5.17320e-18 1
SPEC: 5817.30 5825.50 1.23273e-16 5.08150e-18 1
SPEC: 5825.50 5833.70 1.36122e-16 4.98929e-18 1
SPEC: 5833.70 5841.90 1.37271e-16 4.90933e-18 1
SPEC: 5842.00 5850.20 1.30734e-16 4.82392e-18 1
SPEC: 5850.20 5858.40 1.29542e-16 4.74537e-18 1
SPEC: 5858.40 5866.60 1.23332e-16 4.69644e-18 1
SPEC: 5866.60 5874.80 1.20853e-16 4.65405e-18 1
SPEC: 5874.90 5883.10 1.21395e-16 4.56773e-18 1
SPEC: 5883.10 5891.30 1.20856e-16 4.82738e-18 1
SPEC: 5891.30 5899.50 1.24233e-16 4.78400e-18 1
SPEC: 5899.50 5907.70 1.20963e-16 4.46169e-18 1
SPEC: 5907.80 5916.00 1.15460e-16 4.44668e-18 1
SPEC: 5916.00 5924.20 1.07861e-16 4.42121e-18 1
SPEC: 5924.20 5932.40 1.08959e-16 4.41395e-18 1
SPEC: 5932.50 5940.70 1.14501e-16 4.42006e-18 1
SPEC: 5940.70 5948.90 1.15040e-16 4.41618e-18 1
SPEC: 5948.90 5957.10 1.19801e-16 4.45429e-18 1
SPEC: 5957.10 5965.30 1.23509e-16 4.42205e-18 1
SPEC: 5965.40 5973.60 1.23921e-16 4.45644e-18 1
SPEC: 5973.60 5981.80 1.30838e-16 4.49508e-18 1
SPEC: 5981.80 5990.00 1.30914e-16 4.48469e-18 1
SPEC: 5990.10 5998.30 1.21236e-16 4.50577e-18 1
SPEC: 5998.30 6006.50 1.31253e-16 4.53643e-18 1
SPEC: 6006.50 6014.70 1.30437e-16 4.53643e-18 1
SPEC: 6014.80 6023.00 1.42202e-16 4.54809e-18 1
